name, hazType,stdXdist,stdSLdist,rangeXdist ,maxSLdist, RT, action
S28,3,15.5285,16.419,53.21,75.145,3.32,1
S57,2,15.9085,16.2356,54.0414,99.0293,3.35,1
S55,2,15.9225,16.1296,54.1475,112.4123,2.9,1
S61,3,16.0088,16.6872,54.8873,86.8436,2.9,1
S75,2,16.0843,16.2878,54.7158,118.0443,2.8,1
S74,2,16.2779,16.5746,55.3661,104.3244,3.24,1
S33,3,16.3652,16.9606,56.1579,92.67,2.79,1
S5,2,16.3986,16.5871,55.8009,125.3191,2.69,1
S18,2,16.6191,16.8874,56.5001,106.0241,3.23,1
S47,2,16.6573,16.9488,56.6825,102.2216,3.36,1
S2,3,16.7118,17.5663,57.2969,79.3446,3.39,1
S101,2,16.7444,16.9801,56.9776,118.801,2.91,1
S37,3,16.9539,17.5814,58.155,89.7205,2.96,1
S96,2,17.083,17.2671,59.0456,136.9218,2.56,1
S23,1,17.1082,17.0952,59.0399,199.617,2.58,1
S27,3,17.438,18.0892,59.8504,90.9668,3.04,1
S65,3,17.4952,18.2821,59.9655,85.9281,3.26,1
S38,3,17.5097,18.4827,59.9773,72.8955,3.77,1
S108,2,17.6406,17.889,60.0106,116.6189,3.09,1
S111,2,17.7909,18.1229,60.5246,103.3236,3.58,1
S14,3,17.9648,18.7885,61.6008,83.6508,3.43,1
S29,2,18.0048,18.3382,61.1394,98.4589,3.71,1
S11,3,18.0099,18.9272,61.7723,78.3896,3.7,3
S73,2,18.5663,18.8558,63.2656,111.0422,3.48,1
S77,2,18.7073,18.9279,64.6612,123.3322,3.1,1
S77,3,18.7578,19.4831,64.3123,89.0013,3.32,1
S4,2,18.7761,19.1067,63.8518,107.2125,3.64,1
S56,3,18.8466,19.5419,64.6521,90.7513,3.28,3
S9,2,18.9603,19.2128,64.5941,121.1086,3.19,1
S40,2,19.0061,19.2699,64.7255,117.7787,3.34,1
S99,3,19.2344,20.0355,65.9881,87.7819,3.44,1
S92,3,19.2468,19.9337,66.0311,92.6429,3.27,3
S34,2,19.2517,19.5003,65.6537,118.3774,3.32,2
S68,2,19.2658,19.578,65.6781,108.2995,3.67,1
S32,3,19.6665,20.3017,67.4955,96.9488,3.16,3
S67,2,19.6917,19.9599,67.095,119.0688,3.42,1
