Subject_Num,HazType,Speed,x_dist,y_dist,sl_dist,angle,turn,signal_type,stop,action,RT
S13,3,17.85,-77.07,23.07,80.45,163.33,0,0,0,1,1.57
S13,0,17.86,-158.32,-7.14,158.48,-177.42,1,1,1,1,5.75
S13,2,18.51,-108.97,-18.77,110.58,-170.23,0,0,1,1,2.45
S14,3,18.21,-80.14,23.97,83.65,163.35,0,0,0,3,3.43
S14,2,18.74,-110.24,-18.4,111.76,-170.53,0,0,1,1,2.17
S14,1,19.26,-218.87,-7.44,218.99,-178.05,1,1,0,1,4.89
S15,1,16.27,190.65,6.74,190.77,2.02,1,1,0,1,8.45
S15,3,17.18,74.99,24.32,78.84,17.97,0,0,0,1,1.87
S15,0,18.17,160.9,6.68,161.04,2.38,1,1,1,1,7.05
S17,0,19.58,-170.21,-7.47,170.38,-177.49,1,1,1,1,6.45
S17,3,20.5,-88.95,23.19,91.92,165.38,0,0,0,1,2
S17,2,20.64,-121.05,-18.73,122.49,-171.2,0,0,1,1,2.42
S18,3,17.1,-74.31,22.63,77.68,163.06,0,0,0,1,1.51
S18,0,17.5,-155.71,-7.87,155.91,-177.11,1,1,1,1,6.63
S18,2,17.81,-104.27,-19.23,106.02,-169.55,0,0,1,1,3.23
S19,1,18.66,-215.3,-7.44,215.42,-178.02,1,1,0,1,7.14
S19,2,18.77,-109.8,-18.74,111.39,-170.32,0,0,1,1,2.83
S19,3,21.17,-93.03,23.77,96.02,165.67,0,0,0,3,3.68
S2,2,16.25,-95.93,-19.09,97.81,-168.75,0,0,1,1,2.18
S2,1,16.47,-195.17,-7.61,195.32,-177.77,1,1,0,2,8.43
S2,3,17.15,-75.78,23.52,79.34,162.75,0,0,0,1,3.39
S20,0,16.35,147.25,7,147.42,2.72,1,1,1,1,5.65
S20,1,16.95,195.46,6.84,195.58,2,1,1,0,1,6.91
S20,3,17.03,74.71,24.38,78.59,18.08,0,0,0,1,2.6
S21,0,15.95,149.21,7.48,149.4,2.87,1,1,1,1,0
S21,1,17.04,200.11,6.96,200.23,1.99,1,1,0,2,7.57
S21,2,17.94,105.71,19.36,107.47,10.38,0,0,1,2,9.05
S22,3,15.98,-69.11,23.45,72.98,161.26,0,0,0,1,2.59
S22,2,16.06,-94.21,-18.34,95.98,-168.98,0,0,1,1,2.91
S22,0,16.24,-146.29,-7.24,146.47,-177.17,1,1,1,1,5.64
S23,1,16.93,-199.48,-7.52,199.62,-177.84,1,1,0,3,2.58
S23,2,17.75,-103.91,-18.69,105.58,-169.8,0,0,1,1,1.86
S23,3,18.15,-80.38,23.81,83.83,163.5,0,0,0,1,1.99
S24,0,14.76,135.72,6.41,135.87,2.7,1,1,1,4, NaN
S24,1,15.22,184.03,6.83,184.15,2.13,1,1,0,2,7.91
S24,3,15.7,69.07,24.51,73.29,19.54,0,0,0,3,3.26
S25,2,17.12,101.42,19.27,103.23,10.76,0,0,1,1,2.38
S25,1,17.27,197.26,6.82,197.38,1.98,1,1,0,1,7.31
S25,0,17.81,161.98,7.85,162.17,2.77,1,1,1,1,6.39
S26,3,19.44,-83.58,22.79,86.63,164.75,0,0,0,1,1.64
S26,0,19.89,-172.69,-7.72,172.87,-177.44,1,1,1,1,5.03
S26,2,20.58,-120.9,-18.42,122.29,-171.34,0,0,1,1,1.96
S27,3,19.92,-87.8,23.79,90.97,164.84,0,0,0,3,3.04
S27,1,20.8,-232.22,-7.25,232.33,-178.21,1,1,0,3,6.61
S27,2,21.46,-125.74,-18.52,127.1,-171.62,0,0,1,1,2.17
S28,0,14.89,136.84,6.71,137.01,2.81,1,1,1,4, NaN
S28,1,15.39,179.98,6.55,180.1,2.09,1,1,0,3,6.89
S28,3,16.33,70.93,24.81,75.14,19.28,0,0,0,1,3.32
S29,2,16.36,96.62,18.95,98.46,11.1,0,0,1,1,3.71
S29,1,19.71,218.56,6.96,218.67,1.82,1,1,0,1,6.34
S29,0,20.72,183.12,7.54,183.27,2.36,1,1,1,2,6.24
S3,1,15.17,182.41,6.9,182.54,2.17,1,1,0,4, NaN
S3,3,15.33,66.73,23.66,70.8,19.52,0,0,0,2,3.26
S3,0,17.62,156.47,6.83,156.62,2.5,1,1,1,2,5.4
S30,0,16.39,-146.86,-7.86,147.07,-176.94,1,1,1,1,6.4
S30,2,17.82,-104.64,-18.87,106.33,-169.78,0,0,1,1,2.73
S30,3,18.21,-78.66,22.53,81.82,164.01,0,0,0,1,1.2
S31,0,17.33,158.51,7.54,158.69,2.72,1,1,1,1,5.06
S31,1,18.01,203.62,7.11,203.75,2,1,1,0,1,6.25
S31,2,18.2,107.31,19.36,109.04,10.23,0,0,1,1,1.72
S32,3,21.47,-94.01,23.69,96.95,165.86,0,0,0,3,3.16
S32,2,21.53,-125.83,-18.68,127.2,-171.56,0,0,1,1,1.99
S32,1,22.78,-248.16,-7.01,248.26,-178.38,1,1,0,2,6.82
S33,1,18.31,-209.62,-7.36,209.75,-177.99,1,1,0,3,7.49
S33,2,20.48,-119.74,-18.92,121.22,-171.02,0,0,1,1,1.43
S33,3,20.48,-89.67,23.38,92.67,165.39,0,0,0,1,2.79
S34,3,18.57,-80.23,22.64,83.36,164.24,0,0,0,3,2.6
S34,2,19.91,-116.88,-18.74,118.38,-170.89,0,0,1,2,3.37
