Subject_Num,HazType,Speed,x_dist,y_dist,sl_dist,angle,turn,signal_type,stop,action,RT
S10,1,18.18,202.48,7.26,202.61,2.05,1,1,0,3,4.15
S100,1,16.35,186.8,7.41,186.94,2.27,1,1,0,3,6.74
S101,0,19.37,172.99,7.25,173.14,2.4,1,1,1,3,6.4
S104,2,16.75,-98.18,-18.83,99.97,-169.14,0,0,1,3,2.93
S105,3,18.38,80.45,23.53,83.82,16.31,0,0,0,3,3.14
S108,3,20,-86.08,23.01,89.1,165.03,0,0,0,3,2.46
S109,3,18.47,-81.55,23.9,84.98,163.67,0,0,0,3,3.83
S11,3,16.86,-74.64,23.97,78.39,162.2,0,0,0,3,3.73
S110,0,17.31,154.45,7.01,154.61,2.6,1,1,1,3,6.57
S14,3,18.21,-80.14,23.97,83.65,163.35,0,0,0,3,3.43
S19,3,21.17,-93.03,23.77,96.02,165.67,0,0,0,3,3.68
S23,1,16.93,-199.48,-7.52,199.62,-177.84,1,1,0,3,2.58
S24,3,15.7,69.07,24.51,73.29,19.54,0,0,0,3,3.26
S27,1,20.8,-232.22,-7.25,232.33,-178.21,1,1,0,3,6.61
S27,3,19.92,-87.8,23.79,90.97,164.84,0,0,0,3,3.04
S28,1,15.39,179.98,6.55,180.1,2.09,1,1,0,3,6.89
S32,3,21.47,-94.01,23.69,96.95,165.86,0,0,0,3,3.16
S33,1,18.31,-209.62,-7.36,209.75,-177.99,1,1,0,3,7.49
S34,0,20.15,-175.04,-7.8,175.22,-177.45,1,1,1,3,4.89
S34,3,18.57,-80.23,22.64,83.36,164.24,0,0,0,3,2.6
S37,1,19.33,212.71,6.92,212.83,1.86,1,1,0,3,7.36
S4,1,17.95,204.2,6.63,204.31,1.86,1,1,0,3,6.98
S41,1,18.31,206.87,6.63,206.98,1.83,1,1,0,3,7.67
S42,1,17.49,199.5,6.95,199.62,2,1,1,0,3,2.14
S44,3,20.11,-87.44,22.75,90.35,165.41,0,0,0,3,1.85
S46,1,19.31,216.79,6.74,216.9,1.78,1,1,0,3,6.43
S46,0,19.09,170.87,7.4,171.04,2.48,1,1,1,3,6.39
S52,1,15.23,178.9,7.15,179.04,2.29,1,1,0,3,7.29
S52,0,16.48,148.12,6.99,148.29,2.7,1,1,1,3,6.47
S57,3,16.42,-71.15,22.58,74.65,162.39,0,0,0,3,1.69
S58,1,18.52,205.13,6.65,205.24,1.86,1,1,0,3,6.43
S64,0,19.44,-169.3,-7.99,169.49,-177.3,1,1,1,3,6.8
S64,2,18.12,-106.56,-19.32,108.29,-169.72,0,0,1,3,2.5
S67,0,20.08,178.74,7.48,178.9,2.4,1,1,1,3,5.59
S7,0,18.74,165.16,6.91,165.3,2.4,1,1,1,3,6.14
S76,2,20.14,-117.93,-19.07,119.46,-170.81,0,0,1,3,2.45
S8,2,18.36,108.5,18.95,110.15,9.91,0,0,1,3,4.11
S80,3,20.84,-91.9,23.66,94.9,165.56,0,0,0,3,2.26
S81,3,19.9,86.42,24.19,89.74,15.64,0,0,0,3,2.57
S83,1,16.37,191.12,7.16,191.26,2.15,1,1,0,3,6.76
S83,0,16.92,155.44,7.56,155.62,2.78,1,1,1,3,5.54
S86,3,15.97,-70.97,23.5,74.76,161.68,0,0,0,3,3.28
S90,1,16.26,-194.03,-7.66,194.18,-177.74,1,1,0,3,7.76
S91,1,18.51,208.41,7.25,208.54,1.99,1,1,0,3,6.54
S92,0,16.18,145.94,6.88,146.1,2.7,1,1,1,3,5.34
S92,3,20.54,89.43,24.17,92.64,15.12,0,0,0,3,3.34
S94,2,20.45,120.66,18.86,122.12,8.88,0,0,1,3,3.84
S96,3,21.59,-95.16,23.82,98.09,165.95,0,0,0,3,3.39
S99,0,19.43,170.37,6.81,170.5,2.29,1,1,1,3,1.83
