name, hazType, meanXdist, meanYdist, meanAngle, meanSLdist, meanXspeed, meanYspeed, medianXdist, medianYdist, medianAngle, medianSLdist, medianXspeed, medianYspeed, stdXdist, stdYdist, stdAngle, stdSLdist, stdXspeed, stdYspeed, minXdist, minYdist, minAngle, minSLdist, minXspeed, minYspeed, maxXdist, maxYdist, maxAngle, maxSLdist, maxXspeed, maxYspeed, rangeXdist, rangeYdist, rangeAngle, rangeSLdist, rangeXspeed, rangeYspeed, skewXdist, skewYdist, skewAngle, skewSLdist, skewXspeed, skewYspeed, kurtXdist, kurtYdist, kurtAngle, kurtSLdist, kurtXspeed, kurtYspeed, cvXdist, cvYdist, cvAngle, cvSLdist, cvXspeed, cvYspeed, madXdist, madYdist, madAngle, madSLdist, madXspeed, madYspeed, action, RT
S101,1,143.9884,6.8489,0.0518,144.1657,19.0559,0.0006,143.8589,6.8539,0.0483,144.0265,19.0716,0.001,40.7404,0.0846,0.0157,40.6895,0.1531,0.0033,73.8163,6.5476,0.0318,74.1061,18.7837,-0.0062,214.6667,6.9505,0.0885,214.7755,19.3036,0.0054,140.8504,0.4029,0.0566,140.6694,0.5199,0.0116,0.0075,-1.3315,0.6303,0.0081,-0.0974,-0.4838,-1.2003,1.9016,-0.7168,-1.2004,-1.2804,-0.7131,0.2829,0.0124,0.3029,0.2822,0.008,5.4717,52.3695,0.0624,0.017,52.3149,0.201,0.0036,1,5.6
S102,0,-104.1405,-7.286,-3.0598,104.4344,19.2167,0.0006,-105.5912,-7.3977,-3.0701,105.8615,19.2168,0.0008,38.7434,0.3946,0.0335,38.6393,0.01,0.0007,-168.2,-7.5934,-3.0986,34.9275,19.1983,-0.0023,-34.4698,-5.6359,-2.9795,168.3557,19.2336,0.0017,133.7302,1.9575,0.1191,133.4282,0.0353,0.0041,0.0888,2.2874,0.7821,-0.088,-0.0554,-1.2921,-1.1958,4.9526,-0.5513,-1.1953,-1.1441,0.7091,-0.372,-0.0542,-0.0109,0.37,0.0005,1.3017,49.7188,0.1978,0.032,49.5466,0.0127,0.0003,2,6.02
S102,3,-64.5389,16.374,2.8941,66.5843,20.0093,-0.0018,-64.7095,16.3747,2.8937,66.7491,20.009,-0.0011,12.8238,3.569,0.0049,13.3075,0.0102,0.0014,-86.1806,10.2283,2.8864,43.4202,19.9924,-0.0065,-42.1983,22.4863,2.9038,89.0659,20.0351,-0.0005,43.9824,12.2579,0.0174,45.6457,0.0427,0.006,0.0329,-0.0034,0.2164,-0.0309,0.3316,-1.5982,-1.2125,-1.2092,-1.0665,-1.2123,-0.514,2.372,-0.1987,0.218,0.0017,0.1999,0.0005,-0.7731,16.6135,4.5867,0.006,17.2518,0.0119,0.0008,1,2.24
S102,2,-70.0784,-11.7947,-2.9699,71.067,20.8612,-0.0006,-70.1473,-11.8041,-2.9749,71.1335,20.8687,0.0005,30.6027,4.6296,0.0128,30.9442,0.0344,0.0055,-121.841,-19.0056,-2.9869,17.5155,20.7482,-0.0189,-17.1152,-3.723,-2.9274,123.3128,20.9098,0.0099,104.7258,15.2826,0.0595,105.7973,0.1616,0.0288,0.0091,0.0231,1.413,-0.0092,-1.0738,-1.6015,-1.2109,-1.2296,1.293,-1.2115,1.1236,3.1122,-0.4367,-0.3925,-0.0043,0.4354,0.0016,-8.9548,39.424,6.002,0.0075,39.8724,0.0315,0.0014,1,5.05
S103,0,94.8563,7.0756,0.0918,95.1649,18.0232,0,96.9486,7.4937,0.0771,97.2378,18.1622,0,41.5239,0.8287,0.0419,41.4289,0.2226,0.0008,19.5686,4.1303,0.0468,19.9997,17.715,-0.006,162.6002,7.6225,0.208,162.7788,18.2743,0.002,143.0317,3.4922,0.1612,142.7791,0.5593,0.008,-0.1156,-1.8832,1.0028,-0.1153,-0.2776,-1.9168,-1.1952,2.6322,-0.0231,-1.1944,-1.7449,12.0791,0.4378,0.1171,0.4567,0.4353,0.0124,-29.1939,53.1568,0.1693,0.0349,53.0211,0.1545,0.0006,2,6.71
S103,2,82.7977,15.148,0.1809,84.1721,18.0992,0,82.8839,15.1972,0.1811,84.2657,18.1229,-0.0002,14.6974,2.7025,0.0011,14.9435,0.0395,0.0005,57.3126,10.4096,0.1759,58.2502,17.9799,-0.0007,107.2288,19.0628,0.1822,108.9101,18.126,0.001,49.9162,8.6532,0.0063,50.6598,0.1461,0.0017,-0.0251,-0.0751,-1.9012,-0.0269,-1.4407,0.5186,-1.226,-1.269,5.0599,-1.2278,0.7133,-1.1084,0.1775,0.1784,0.0059,0.1775,0.0022,-192.7256,19.0659,3.5704,0.0009,19.3972,0.0043,0.0005,1,2.81
S103,1,126.4679,6.8616,0.0634,126.6834,18.0485,0.0003,126.4084,6.9282,0.0548,126.5986,18.0245,0.0002,46.6092,0.2046,0.0262,46.5295,0.0851,0.0013,46.027,5.9373,0.0335,46.4084,17.8858,-0.0025,207.265,6.9852,0.1283,207.3812,18.2805,0.0044,161.238,1.0479,0.0948,160.9728,0.3947,0.0069,0.0035,-2.7546,0.838,0.0047,0.9376,0.6491,-1.1994,6.9571,-0.4375,-1.1994,0.4284,0.7811,0.3685,0.0298,0.4128,0.3673,0.0047,3.9881,59.7828,0.0155,0.0239,59.714,0.0502,0.0011,1,6.68
S104,2,-73.6035,-13.9409,-2.9547,74.9122,16.7131,-0.0001,-73.5881,-13.8936,-2.955,74.8882,16.7335,-0.0001,14.169,2.8036,0.0016,14.4432,0.0444,0.0009,-98.1774,-18.8283,-2.9566,50.0525,16.5973,-0.0018,-49.1951,-9.2247,-2.9519,99.9665,16.7521,0.0031,48.9823,9.6036,0.0047,49.9141,0.1548,0.0049,-0.0033,-0.0398,0.3235,0.0047,-1.1981,1.376,-1.2002,-1.2118,-1.3656,-1.2007,0.0878,2.5856,-0.1925,-0.2011,-0.0005,0.1928,0.0027,-12.5209,18.1988,3.6176,0.0021,18.5543,0.0218,0.0006,3,2.93
S104,3,-48.0901,15.4922,2.8319,50.5249,16.0625,-0.0002,-48.2198,15.5064,2.8305,50.6517,16.0815,-0.0001,13.7358,4.7352,0.007,14.5256,0.0519,0.0002,-71.2379,7.2875,2.8218,25.3054,15.9373,-0.0006,-24.2334,23.592,2.8495,75.0428,16.1226,0,47.0046,16.3045,0.0277,49.7374,0.1853,0.0006,0.0273,-0.0102,0.6667,-0.0254,-0.921,-0.7436,-1.2191,-1.205,-0.412,-1.2178,-0.4188,-0.5828,-0.2856,0.3057,0.0025,0.2875,0.0032,-0.9815,17.7914,6.0924,0.007,18.8022,0.0401,0.0001,1,2.97
S104,1,-109.8982,-7.4399,-3.0617,110.1895,15.3986,0.0002,-110.0537,-7.6298,-3.0724,110.3173,15.3568,0.0002,43.0412,0.4517,0.033,42.9418,0.2032,0.0013,-184.3192,-7.6899,-3.1001,35.5704,15.1113,-0.0019,-35.1294,-5.584,-2.984,184.4777,15.7853,0.0043,149.1899,2.1059,0.1162,148.9073,0.674,0.0062,0.007,2.3879,0.7792,-0.006,0.567,0.8085,-1.1938,4.9095,-0.5914,-1.1933,-0.8779,0.3024,-0.3916,-0.0607,-0.0108,0.3897,0.0132,5.6869,55.1169,0.0633,0.0308,54.9793,0.2098,0.0015,1,6.95
S105,3,55.8954,-15.9633,-0.2771,58.1307,18.3989,-0.0019,56.0453,-15.9448,-0.2772,58.2693,18.3979,-0.0018,14.5505,4.3897,0.0042,15.1965,0.0138,0.0014,30.587,-23.5344,-0.2846,31.7357,18.3789,-0.0085,80.4535,-8.4611,-0.2699,83.825,18.4206,-0.0002,49.8665,15.0733,0.0147,52.0893,0.0417,0.0084,-0.0285,-0.0093,0.0083,-0.0254,0.101,-2.044,-1.2154,-1.2097,-1.0987,-1.215,-1.4389,7.0183,0.2603,-0.275,-0.0151,0.2614,0.0008,-0.7074,18.8119,5.6586,0.0051,19.6426,0.02,0.0011,3,2.75
S105,0,99.5781,7.2804,0.0815,99.8721,17.0518,0.0002,101.0719,7.3672,0.0738,101.3476,16.8895,0.0001,31.5935,0.246,0.0277,31.5051,0.3752,0.001,41.9001,6.3931,0.048,42.385,16.6904,-0.0023,151.4609,7.4718,0.1514,151.6359,17.9743,0.0035,109.5608,1.0787,0.1034,109.2509,1.2839,0.0057,-0.113,-1.8684,0.7871,-0.1119,0.9586,1.2619,-1.1799,2.7426,-0.4355,-1.1802,-0.4132,1.8839,0.3173,0.0338,0.3402,0.3155,0.022,4.2039,40.2128,0.1195,0.0273,40.1048,0.2668,0.0007,2,5.53
